Ancient	Recent	All
0.000	0.280	0.241
0.000	0.414	0.353
0.000	0.423	0.367
0.000	0.469	0.417
0.000	0.500	0.429
0.000	0.250	0.194
0.000	0.414	0.364
0.000	0.393	0.344
0.000	0.231	0.188
0.000	0.233	0.206
0.000	0.200	0.176
0.000	0.318	0.269
0.000	0.419	0.342
0.000	0.412	0.368
0.000	0.250	0.214
0.000	0.440	0.379
0.000	0.200	0.167
0.000	0.500	0.433
0.250	0.444	0.419
0.143	0.259	0.235
0.000	0.321	0.265
0.000	0.423	0.367
0.000	0.240	0.194
0.000	0.379	0.324
0.000	0.333	0.269
0.000	0.400	0.343
0.000	0.519	0.438
0.000	0.484	0.405
0.000	0.481	0.419
0.000	0.321	0.290
0.000	0.393	0.324
0.000	0.240	0.200
0.000	0.367	0.306
0.000	0.261	0.231
0.000	0.222	0.194
0.000	0.393	0.333
0.250	0.400	0.382
0.000	0.308	0.258
0.000	0.320	0.276
0.200	0.333	0.313
0.000	0.250	0.208
0.000	0.303	0.256
0.000	0.500	0.457
0.000	0.321	0.273
0.000	0.250	0.207
0.000	0.296	0.258
0.000	0.467	0.412
0.000	0.423	0.355
0.000	0.267	0.229
0.000	0.267	0.242
0.000	0.444	0.375
0.333	0.355	0.353
0.000	0.250	0.206
0.000	0.423	0.355
0.000	0.458	0.367
0.000	0.357	0.303
0.000	0.400	0.357
0.000	0.321	0.273
0.200	0.345	0.324
0.000	0.222	0.194
0.000	0.333	0.286
0.000	0.308	0.267
0.000	0.231	0.207
0.000	0.207	0.182
0.000	0.538	0.438
0.000	0.111	0.094
0.000	0.333	0.273
0.000	0.238	0.185
0.000	0.435	0.357
0.000	0.385	0.313
0.000	0.310	0.257
0.000	0.185	0.156
0.000	0.455	0.357
0.000	0.200	0.172
0.000	0.385	0.323
0.000	0.462	0.387
0.000	0.458	0.393
0.143	0.385	0.333
0.000	0.417	0.333
0.333	0.483	0.469
0.000	0.310	0.273
0.000	0.267	0.229
0.000	0.346	0.290
0.000	0.370	0.303
0.000	0.385	0.313
0.000	0.280	0.226
0.000	0.357	0.313
0.000	0.346	0.290
0.000	0.323	0.286
0.000	0.080	0.067
0.000	0.259	0.233
0.000	0.379	0.314
0.125	0.600	0.485
0.000	0.467	0.400
0.000	0.360	0.310
0.000	0.321	0.265
0.000	0.269	0.241
0.000	0.130	0.111
0.000	0.448	0.382
0.000	0.517	0.469
