family1	4	74	1000000	100	0.001174	96940.453125
family2	4	72	1000000	100	0.000958	82528.015625
family3	4	92	1000000	100	0.000618	128736.203125
family4	4	85	1000000	100	0.000591	119252.953125
family5	4	77	1000000	100	0.000491	130095.210938
family6	4	82	1000000	100	0.000692	110489.695313
family7	4	72	1000000	100	0.000766	94599.726563
family8	4	70	1000000	100	0.001092	83013.460938
family9	4	71	1000000	100	0.000582	94188.671875
family10	4	70	1000000	100	0.001164	89746.796875
family11	4	70	1000000	100	0.000749	104438.132813
family12	4	76	1000000	100	0.000775	99534.210938
family13	4	74	1000000	100	0.000701	99842.750000
family14	4	70	1000000	100	0.000980	103702.140625
family15	4	80	1000000	100	0.000763	128171.906250
family16	4	70	1000000	100	0.000909	103547.945313
family17	4	71	1000000	100	0.000942	102342.265625
family18	4	73	1000000	100	0.000529	99413.039063
family19	4	70	1000000	100	0.000800	103302.210938
family20	4	72	1000000	100	0.001079	97566.718750
family21	4	73	1000000	100	0.001107	110566.703125
family22	4	71	1000000	100	0.000788	109222.843750
family23	4	75	1000000	100	0.000613	106487.992188
family24	4	76	1000000	100	0.000571	113540.390625
family25	4	70	1000000	100	0.000510	87898.234375
family26	4	77	1000000	100	0.000697	116106.390625
family27	4	70	1000000	100	0.000768	88960.359375
family28	4	75	1000000	100	0.000787	98697.664063
family29	4	88	1000000	100	0.000571	146100.375000
family30	4	72	1000000	100	0.000613	109265.890625
family31	4	70	1000000	100	0.001014	84582.312500
family32	4	70	1000000	100	0.000498	116075.671875
family33	4	71	1000000	100	0.000643	114391.179688
family34	4	70	1000000	100	0.000624	90977.781250
family35	4	71	1000000	100	0.000510	87698.046875
family36	4	74	1000000	100	0.000960	108594.726563
family37	4	71	1000000	100	0.000581	96304.609375
family38	4	74	1000000	100	0.000583	118347.593750
family39	4	72	1000000	100	0.000745	115002.640625
family40	4	77	1000000	100	0.000695	115163.179688
family41	4	70	1000000	100	0.001011	102654.765625
family42	4	79	1000000	100	0.000713	100899.664063
family43	4	71	1000000	100	0.000789	97362.539063
family44	4	76	1000000	100	0.000858	87700.328125
family45	4	75	1000000	100	0.000672	94316.531250
family46	4	70	1000000	100	0.000723	104282.890625
family47	4	70	1000000	100	0.001017	99012.898438
family48	4	74	1000000	100	0.000691	94205.445313
family49	4	73	1000000	100	0.000843	94196.218750
family50	4	70	1000000	100	0.000684	84278.195313
family51	4	70	1000000	100	0.000741	89324.859375
family52	4	74	1000000	100	0.000764	102673.226563
family53	4	70	1000000	100	0.000671	117975.257813
family54	4	76	1000000	100	0.000489	118801.578125
family55	4	73	1000000	100	0.000893	100987.460938
family56	4	72	1000000	100	0.000889	96701.093750
family57	4	72	1000000	100	0.000500	97745.609375
family58	4	77	1000000	100	0.000932	100932.554688
family59	4	71	1000000	100	0.000702	93914.867188
family60	4	72	1000000	100	0.000838	94170.609375
family61	4	70	1000000	100	0.000819	95063.835938
family62	4	78	1000000	100	0.000703	107498.562500
family63	4	97	1000000	100	0.000693	136575.859375
family64	4	74	1000000	100	0.000912	98625.046875
family65	4	75	1000000	100	0.000630	122187.812500
family66	4	75	1000000	100	0.000823	103159.523438
family67	4	86	1000000	100	0.000758	112284.570313
family68	4	76	1000000	100	0.000670	100771.570313
family69	4	74	1000000	100	0.000885	95627.070313
family70	4	74	1000000	100	0.000406	118365.781250
family71	4	81	1000000	100	0.000812	123584.945313
family72	4	71	1000000	100	0.000815	106513.867188
family73	4	70	1000000	100	0.000853	106070.867188
family74	4	74	1000000	100	0.000842	99534.937500
family75	4	70	1000000	100	0.000728	94777.914063
family76	4	77	1000000	100	0.000773	91063.257813
family77	4	71	1000000	100	0.001018	103132.687500
family78	4	76	1000000	100	0.000665	98536.687500
family79	4	79	1000000	100	0.000894	93199.460938
family80	4	73	1000000	100	0.000610	106114.437500
family81	4	80	1000000	100	0.000747	98543.593750
family82	4	72	1000000	100	0.001127	87628.023438
family83	4	79	1000000	100	0.000773	103357.187500
family84	4	71	1000000	100	0.000576	108586.515625
family85	4	70	1000000	100	0.000908	85697.109375
family86	4	77	1000000	100	0.000555	112548.765625
family87	4	72	1000000	100	0.000900	108177.804688
family88	4	78	1000000	100	0.000911	109878.523438
family89	4	73	1000000	100	0.000737	96177.492188
family90	4	73	1000000	100	0.000838	91745.703125
family91	4	82	1000000	100	0.000604	111796.062500
family92	4	70	1000000	100	0.000969	85745.835938
family93	4	72	1000000	100	0.000572	99156.875000
family94	4	70	1000000	100	0.000355	91153.937500
family95	4	72	1000000	100	0.000560	111423.984375
family96	4	71	1000000	100	0.000910	99859.906250
family97	4	84	1000000	100	0.000530	128264.085938
family98	4	79	1000000	100	0.000812	105573.554688
family99	4	77	1000000	100	0.000689	111020.640625
family100	4	70	1000000	100	0.000687	98953.101563
